flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s
notimplemented,notimplemented,move,0.0428936761337704,0.07926786839411348
notimplemented,notimplemented,move,0.04313761910716611,0.08018309044291809
notimplemented,notimplemented,move,0.04341033272952481,0.08109015540920617
notimplemented,notimplemented,move,0.043711545153976884,0.08198815911089283
notimplemented,notimplemented,move,0.04404095612542695,0.08287620639835874
notimplemented,notimplemented,move,0.04439823727985476,0.08375341204675478
notimplemented,notimplemented,move,0.04478303247163556,0.08461890163841353
notimplemented,notimplemented,move,0.045194958128553765,0.08547181243448759
notimplemented,notimplemented,move,0.04563360363415618,0.08631129423494668
notimplemented,notimplemented,move,0.0460985317370633,0.08713651022607533
notimplemented,notimplemented,move,0.04658927898683103,0.08794663781462703
notimplemented,notimplemented,move,0.04710535619592822,0.0887408694478032
notimplemented,notimplemented,move,0.047646248927369364,0.08951841341823917
notimplemented,notimplemented,move,0.04821141800751664,0.0902784946531955
notimplemented,notimplemented,move,0.04880030006353983,0.09102035548716716
notimplemented,notimplemented,move,0.04941230808499868,0.09174325641714112
notimplemented,notimplemented,move,0.0500468320089877,0.09244647683974902
notimplemented,notimplemented,move,0.05070323932826,0.09312931576958015
notimplemented,notimplemented,move,0.051380875721724464,0.09379109253793917
notimplemented,notimplemented,move,0.05207906570668705,0.09443114747135126
notimplemented,notimplemented,move,0.052797113312186776,0.09504884254913912
notimplemented,notimplemented,move,0.05353430277275463,0.09564356203941576
notimplemented,notimplemented,move,0.05428989924190414,0.09621471311285955
notimplemented,notimplemented,move,0.05506314952464245,0.09676172643365928
notimplemented,notimplemented,move,0.055853282828271324,0.0972840567270405
notimplemented,notimplemented,move,0.05665951153073019,0.09778118332280736
notimplemented,notimplemented,move,0.057481031965714836,0.09825261067435781
notimplemented,notimplemented,move,0.05831702522378951,0.0986978688526554
notimplemented,notimplemented,move,0.059166657968693706,0.0991165140146647
notimplemented,notimplemented,move,0.06002908326802975,0.09950812884578365
notimplemented,notimplemented,move,0.060903441437503585,0.0998723229758319
notimplemented,notimplemented,move,0.061788860897876614,0.10020873336818026
notimplemented,notimplemented,move,0.06268445904377493,0.10051702468163348
notimplemented,notimplemented,move,0.06358934312348957,0.1007968896047057
notimplemented,notimplemented,move,0.06450261112889073,0.1010480491619552
notimplemented,notimplemented,move,0.06542335269456925,0.1012702529920732
notimplemented,notimplemented,move,0.06635065000530846,0.10146327959744941
notimplemented,notimplemented,move,0.06728357871098246,0.1016269365649657
notimplemented,notimplemented,move,0.06822120884796846,0.10176106075779773
notimplemented,notimplemented,move,0.06916260576615463,0.10186551847803317
notimplemented,notimplemented,move,0.07010683106061978,0.1019402055999448
notimplemented,notimplemented,move,0.07105294350705568,0.1019850476737852
